Data/Hora,IP,Cidade,País,Rota,User-Agent
20/04/2025 03:07:22,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:07:18,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:06:58,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:06:51,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:05:12,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:05:11,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:05:09,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:05:06,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:03:39,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:01:49,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
20/04/2025 03:01:39,127.0.0.1,Desconhecida,Desconhecido,/maddie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
